Vendor ID,Vendor,Count
884,Jonathon Rossi ,8
892,Jscape ,8
898,Julian Gruber ,8
902,JUnit ,8
922,Khronos Group ,8
923,Kidasa Software ,8
943,Kyle Mitchell ,8
948,Laurel Bridge Software ,8
963,Liferay ,8
964,LightScribe ,8
979,LOINC ,8
991,Mackinney Mainframe Software and Support ,8
996,Mainspring Healthcare Solutions ,8
1011,Markdown It! ,8
1016,"Matchware, Inc. ",8
1018,Mathias Buus ,8
1040,MedicaSoft ,8
1044,MEDITECH ,8
1045,Medtronic ,8
1050,Megaputer ,8
1069,Micronode ,8
1070,Micropact ,8
1079,MIM Software Inc. ,8
1085,Miridia ,8
1115,"Multivariate Software, Inc. ",8
1128,Nathan Voxland ,8
1130,National Institute of General Medical Sciences (NIGMS) ,8
1133,National Library of Medicine ,8
1135,National Oceanic and Atmospheric Administration (NOAA) ,8
1195,Nonin ,8
1218,OASIS OPEN ,8
1236,OMA ,8
1252,Open ID Foundation ,8
1258,OpenClinica ,8
1296,PassPort ,8
1301,pdfforge ,8
1307,Pennsylvania State University ,8
1339,PKWARE ,8
1352,PowerMapper ,8
1358,PresentationPoint ,8
1374,"Psychology Software Tools, Inc. ",8
1380,Qbase ,8
1389,QSR ,8
1405,Reallusion ,8
1407,Realtime ,8
1412,Red Rock Software ,8
1461,RSNA ,8
1469,Ryan Lienhart Dahl ,8
1470,SA International (SAi) ,8
1491,Saxonica ,8
1532,Simon Boudrias ,8
1539,SkillTRAN ,8
1551,SnapComms ,8
1575,SoundEar ,8
1602,Starkey ,8
1605,Stata Corp LP ,8
1607,Statistical Innovations Inc. ,8
1610,"Statpoint Technologies, Inc. ",8
1622,Stratus Technologies ,8
1637,Synametrics Technologies ,8
1653,Tanuki ,8
1668,Terence Parr ,8
1669,TerminalWorks ,8
1681,The Document Foundation ,8
1686,The Jython Project ,8
1692,The ScottCare Corporation ,8
1697,Thomas Williams ,8
1701,Thunderhead ,8
1710,Tomasz Janczuk ,8
1731,Tripp Lite ,8
1734,Tritech Software Systems ,8
1745,U.S. Pharmacopeia ,8
1759,University of Bristol ,8
1764,University of Washington ,8
1800,ViewSonic ,8
1840,WaveWare Technologies ,8
1846,Webtrends ,8
1849,Wellspring Worldwide ,8
1869,WinMerge ,8
1873,WinWay Corporation ,8
1877,Wolters Kluwer Health ,8
1886,"X1 Discovery, Inc ",8
1888,Xavier Roche ,8
1892,XMLUnit ,8
1895,XPLG ,8
10,AB Tutor ,7
22,ACD Systems International Inc. ,7
26,Acronis ,7
32,ADA ,7
48,Agiliance ,7
67,Alexsys Corporation ,7
85,American College of Radiology ,7
93,Analytic Technologies ,7
117,APCO ,7
169,AudioCare Systems ,7
171,Autofac Contributors ,7
192,"Balsamiq Studios, LLC ",7
196,"Batesville, Inc ",7
207,"Bernafon, LLC ",7
225,BizFlow Corporation ,7
226,Bjango ,7
229,"Blackboard, Inc. ",7
250,BRIT Systems ,7
283,Cardinal Health ,7
290,Carl Zeiss Meditec ,7
301,Cewolf ,7
305,"Charm Sciences, Inc. ",7
311,Chris Lattner ,7
317,Circle Systems ,7
325,Clinical DataFax Systems Inc. ,7
337,Code Blue Designs ,7
361,Condusiv Technologies ,7
375,Crawler-Lib ,7
390,CyberLink ,7
408,DataLocker ,7
421,DeBugBar ,7
425,Defense Acquisition University ,7
468,DivX ,7
507,ec2 Software Solutions ,7
533,Elsevier ,7
540,Emmanuel Dupuy ,7
548,Enesys ,7
557,EpiData Association ,7
560,Equisys Inc ,7
580,ExclamationSOFT ,7
587,ExtraView Corporation ,7
588,F5 ,7
591,Famatech ,7
598,FDB First Databank ,7
615,"FlowJo, LLC ",7
641,Gemalto ,7
649,GeoServer ,7
663,GnuPG.org ,7
669,Gradle Inc. ,7
684,GT Software ,7
697,HashiCorp ,7
765,Imprint Plus ,7
769,Industrial Scientific ,7
777,Information Mapping ,7
785,"Innovative Interfaces, Inc. ",7
807,Intermountain Lock and Security ,7
808,Internet Society ,7
825,isee Systems ,7
829,iTracs ,7
852,Jared Hanson ,7
935,"Kool Toolz, Inc. ",7
952,LeanPath ,7
967,linuxcontainers.org ,7
1073,"MicroVideo Learning Systems, Inc. ",7
